numCycle,collective,gpus,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"ReduceScatter",2,0,"float","sum",0,0.388600,0.000000,0.000000,"0"
0,"ReduceScatter",2,0,"float","sum",1,0.360360,0.000000,0.000000,"0"
0,"ReduceScatter",2,0,"float","sum",0,0.359360,0.000000,0.000000,"0"
0,"ReduceScatter",2,0,"float","sum",1,0.358960,0.000000,0.000000,"0"
0,"ReduceScatter",2,32,"float","sum",0,19.908500,0.001607,0.000804,"0"
0,"ReduceScatter",2,32,"float","sum",1,14.329740,0.002233,0.001117,"0"
0,"ReduceScatter",2,64,"float","sum",0,13.648900,0.004689,0.002345,"0"
0,"ReduceScatter",2,64,"float","sum",1,14.142460,0.004525,0.002263,"0"
0,"ReduceScatter",2,128,"float","sum",0,13.742860,0.009314,0.004657,"0"
0,"ReduceScatter",2,128,"float","sum",1,14.174920,0.009030,0.004515,"0"
0,"ReduceScatter",2,256,"float","sum",0,14.091780,0.018167,0.009083,"0"
0,"ReduceScatter",2,256,"float","sum",1,14.270260,0.017939,0.008970,"0"
0,"ReduceScatter",2,512,"float","sum",0,13.894900,0.036848,0.018424,"0"
0,"ReduceScatter",2,512,"float","sum",1,14.055140,0.036428,0.018214,"0"
0,"ReduceScatter",2,1024,"float","sum",0,13.821160,0.074089,0.037045,"0"
0,"ReduceScatter",2,1024,"float","sum",1,13.658140,0.074974,0.037487,"0"
0,"ReduceScatter",2,2048,"float","sum",0,14.298500,0.143232,0.071616,"0"
0,"ReduceScatter",2,2048,"float","sum",1,13.604840,0.150535,0.075267,"0"
0,"ReduceScatter",2,4096,"float","sum",0,14.141660,0.289641,0.144820,"0"
0,"ReduceScatter",2,4096,"float","sum",1,13.270120,0.308663,0.154332,"0"
0,"ReduceScatter",2,8192,"float","sum",0,14.062760,0.582531,0.291266,"0"
0,"ReduceScatter",2,8192,"float","sum",1,13.906320,0.589085,0.294542,"0"
0,"ReduceScatter",2,16384,"float","sum",0,12.933420,1.266796,0.633398,"0"
0,"ReduceScatter",2,16384,"float","sum",1,12.273200,1.334941,0.667471,"0"
0,"ReduceScatter",2,32768,"float","sum",0,12.508160,2.619730,1.309865,"0"
0,"ReduceScatter",2,32768,"float","sum",1,12.597100,2.601234,1.300617,"0"
0,"ReduceScatter",2,65536,"float","sum",0,13.391720,4.893770,2.446885,"0"
0,"ReduceScatter",2,65536,"float","sum",1,13.404540,4.889090,2.444545,"0"
0,"ReduceScatter",2,131072,"float","sum",0,15.284220,8.575642,4.287821,"0"
0,"ReduceScatter",2,131072,"float","sum",1,14.663060,8.938925,4.469463,"0"
0,"ReduceScatter",2,262144,"float","sum",0,14.377420,18.233035,9.116517,"0"
0,"ReduceScatter",2,262144,"float","sum",1,14.952920,17.531292,8.765646,"0"
0,"ReduceScatter",2,524288,"float","sum",0,14.868180,35.262419,17.631210,"0"
0,"ReduceScatter",2,524288,"float","sum",1,14.796060,35.434298,17.717149,"0"
0,"ReduceScatter",2,1048576,"float","sum",0,15.689840,66.831529,33.415765,"0"
0,"ReduceScatter",2,1048576,"float","sum",1,15.893960,65.973238,32.986619,"0"
0,"ReduceScatter",2,2097152,"float","sum",0,19.638080,106.790073,53.395037,"0"
0,"ReduceScatter",2,2097152,"float","sum",1,19.568380,107.170445,53.585223,"0"
0,"ReduceScatter",2,4194304,"float","sum",0,26.960500,155.572189,77.786094,"0"
0,"ReduceScatter",2,4194304,"float","sum",1,26.927240,155.764349,77.882174,"0"
0,"ReduceScatter",2,8388608,"float","sum",0,41.686060,201.232930,100.616465,"0"
0,"ReduceScatter",2,8388608,"float","sum",1,41.767780,200.839211,100.419606,"0"
0,"ReduceScatter",2,16777216,"float","sum",0,71.176640,235.712391,117.856196,"0"
0,"ReduceScatter",2,16777216,"float","sum",1,71.661980,234.115998,117.057999,"0"
0,"ReduceScatter",2,33554432,"float","sum",0,130.243140,257.629170,128.814585,"0"
0,"ReduceScatter",2,33554432,"float","sum",1,130.462480,257.196031,128.598015,"0"
0,"ReduceScatter",2,67108864,"float","sum",0,247.841700,270.773094,135.386547,"0"
0,"ReduceScatter",2,67108864,"float","sum",1,248.049620,270.546127,135.273064,"0"
0,"ReduceScatter",2,134217728,"float","sum",0,483.618920,277.527868,138.763934,"0"
0,"ReduceScatter",2,134217728,"float","sum",1,483.422620,277.640562,138.820281,"0"
0,"ReduceScatter",2,268435456,"float","sum",0,954.681780,281.177940,140.588970,"0"
0,"ReduceScatter",2,268435456,"float","sum",1,955.014700,281.079921,140.539960,"0"
0,"ReduceScatter",2,536870912,"float","sum",0,1896.566800,283.075140,141.537570,"0"
0,"ReduceScatter",2,536870912,"float","sum",1,1896.655120,283.061958,141.530979,"0"
0,"ReduceScatter",2,1073741824,"float","sum",0,3779.750260,284.077452,142.038726,"0"
0,"ReduceScatter",2,1073741824,"float","sum",1,3780.157100,284.046878,142.023439,"0"
